,cleaned_entity_name,entity_name,lei,isin,LEI
9882,Taishan Longan Coal Industry   of Shanxi Coal Transportation and Marketing Group,Taishan Long'an Coal Industry Co Ltd of Shanxi Coal Transportation and Marketing Group,,,
9883,Taishan Venture Capital,Taishan Venture Capital,,,
9884,Taison Technology GROUP,Taison Technology (GROUP),,,
9885,Taiwan Mask,Taiwan Mask,,,
9886,Taiyuan Boiler Group,Taiyuan Boiler Group,,,
9887,Taiyuan Boiler Group Investment Management,Taiyuan Boiler Group Investment Management,,,
9888,Taiyuan Coal Exchange Market,"""Taiyuan Coal Exchange Market (co.",,,
9889,Taiyuan Finance Bureau,Taiyuan Finance Bureau,,,
9890,Taiyuan Haixin Asset Management,Taiyuan Haixin Asset Management,,,
9891,Taiyuan Heavy Machinery Group,Taiyuan Heavy Machinery Group,,,
9892,Taiyuan Huixin Hezhong Energy Technology,Taiyuan Huixin Hezhong Energy Technology,,,
9893,Taiyuan Iron  Steel Group,Taiyuan Iron & Steel (Group),,,
9894,Taiyuan Kangheng Renewable Energy,Taiyuan Kangheng Renewable Energy,,,
9895,Taiyuan Local Financial Investment Management,Taiyuan Local Financial Investment Management,,,
9896,Taiyuan Municipal Peoples Government Stateowned Assets Supervision and Administration Commission,Taiyuan Municipal People's Government State-owned Assets Supervision and Administration Commission,,,
9897,Taiyuan Zhongze Technology,Taiyuan Zhongze Technology,,,
9898,Taizhou Chengfa Capital Investment,Taizhou Chengfa Capital Investment,,,
9899,Taizhou Huangyan District Finance Bureau Taizhou Huangyan District Peoples Government Stateowned Assets Supervision and Administration Office,Taizhou Huangyan District Finance Bureau (Taizhou Huangyan District People's Government State-owned Assets Supervision and Administration Office),,,
9900,Taizhou Huangyan District StateOwned Assets Management,Taizhou Huangyan District State-Owned Assets Management,,,
9901,Taizhou Huangyan Urban Construction Investment,Taizhou Huangyan Urban Construction Investment,,,
9902,Taizhou Huangyan Urban Construction Investment Group,Taizhou Huangyan Urban Construction Investment Group,,,
9903,Taizhou Taineng Investment Management,Taizhou Taineng Investment Management,,,
9904,Tancheng Changqing Biomass Energy,Tancheng Changqing Biomass Energy,,,
9905,Tangshan Fengnan District Xinfeng Thermal,Tangshan Fengnan District Xinfeng Thermal,,,
9906,Tangshan Construction Investment,Tangshan Construction Investment,,,
9907,Tangshan Kailuan Thermal Power,Tangshan Kailuan Thermal Power,,,
9908,Tangshan Mingye Intelligent Technology,Tangshan Mingye Intelligent Technology,,,
9909,Tangyin County Finance Bureau,Tangyin County Finance Bureau,,,
9910,Taonan Xinkai Energy,Taonan Xinkai Energy,,,
9911,TAP Air Portugal,TAP Air Portugal,,,
9912,Tcc Guigang Cement,Tcc Guigang Cement,,,
